Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Adjusted_Cost,Profit,Profit_Percentage
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,270.97101676799167,-13.286256253890599,-4.6740250874312075
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,157.70903918225258,-16.16571356715508,-9.297332310489887
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,327.0654889500641,-2.729980012182523,-0.8277797207987226
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,516.4347172484763,46.233485497156494,9.832701910404284
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,702.2021128093878,122.5206904453737,21.135866308380013
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,323.59204427553215,-16.363316329189956,-4.813372055696498
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,98.98486141337224,-5.076679860219272,-4.8785361028547625
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,214.87430165428222,-20.937561901767793,-8.878926439929158
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,722.8393906600634,221.4268731767578,44.160619341564434
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,693.8382727793595,294.8449082087492,73.89719589097832
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,906.3417480620658,237.0431215961877,35.41664545882234
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,378.53100532439794,-36.459099408127145,-8.785534641031079
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,778.269457864381,287.85873614607686,58.69748017283872
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,328.7580548274259,32.51517883550366,10.975851732005959
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,475.1388520197034,148.0499871479659,45.26292486478293
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,644.1244712216012,198.98760279768868,44.70256608989505
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,253.4799351177251,8.943763287079292,3.6574398053770634
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,65.69941490193035,18.385106268313443,38.85739176848246
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,215.54257706107146,85.73431415167505,66.04688502111449
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,634.0632283372331,251.11511801738203,65.57418910035678
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,79.34907722437787,-3.423715958061919,-4.136281773789723
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,92.9034932292527,28.832320674246148,45.000457342173576
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,534.5206853756317,143.85191954677634,36.82196585170445
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.1665249737545,300.4795684333889,88.31304345963443,41.62440020665794
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,293.12745388510336,57.46932017958929,24.386733135807987
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,585.8229309516289,179.2654328982381,44.09350061345965
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,181.66014231775858,-0.8142847418931183,-0.4462459507418675
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,657.7009881371093,5.083690837028371,0.7789696745795616
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,397.0441833004568,-6.182915068963155,-1.5333580242909728
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,488.82972330936883,-48.955136143478455,-9.103107921871649
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,469.5824895711825,183.45103700749797,64.11425076265151
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,465.9195652438955,-19.1350980917411,-3.9449364243098617
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,269.0996345570236,98.0136510409385,57.28911803679318
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,538.4619772193811,52.58352348752999,10.822361659311206
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,296.75776087683425,2.02487439904678,0.687020177234068
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,374.717553284101,-18.121167123916962,-4.612877036432558
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,667.5097561031425,211.32880931644291,46.325654502895254
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,661.7404861128795,159.2111653255318,31.68196535797843
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,416.49511734463147,172.27745569171174,70.54258669323889
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,848.2604182376018,213.53388701252038,33.64187197286051
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,431.98568528313456,86.57891697717969,25.06578472732465
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,235.9524288037815,84.80029915561684,56.10261618741706
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,538.2741500481729,7.5141561569435,1.4157352180698464
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,782.2193479681339,299.36918376853583,62.00043118237072
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,356.59546006875456,0.6359525825097876,0.1786586870514654
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,457.9634864115718,154.0025238043827,50.66523098342771
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,513.1228287854518,-1.7543454559998963,-0.34073086626621285
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,391.8643908860511,30.732035934329474,8.509909320763551
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,84.91249495110738,4.650030329259792,5.793530451834699
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,753.7106476256184,333.08673631549465,79.1887306829572
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,825.3740937881677,304.4814231758403,58.45377375302897
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,261.44951162392226,78.37372058201001,42.80943981504775
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,282.5694452316763,92.43198164389878,48.61324007366243
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,530.2449132145609,7.942810344414852,1.5207310674737184
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,541.9432492299591,131.25690428246628,31.960377036457782
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,573.1122512237271,-11.883619905373166,-2.031402355445107
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,359.73584085947834,58.11321440974541,19.266861738381653
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,481.5242816168795,67.93719757234697,16.426334427076046
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,370.7510517896006,97.63294717028162,35.747519303550256
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,360.0605925420129,112.8860298911554,45.67056928532357
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,246.3570563312495,32.913805534006315,15.420401165681378
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,268.6054726601035,-27.188907492728276,-9.191826930139865
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,175.40307037328898,30.333261198448895,20.909423794644162
